C:\etc\ML\snake-game\agent.py:94: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\utils\tensor_new.cpp:257.)
  states = torch.tensor(states, dtype=torch.float).to(device) #
Game 749 Score 32 Record 76
Game 750 Score 44 Record 76
Game 751 Score 41 Record 76
Game 752 Score 66 Record 76
Game 753 Score 24 Record 76
Game 754 Score 34 Record 76
Game 755 Score 50 Record 76
Game 756 Score 35 Record 76
Game 757 Score 10 Record 76
Game 758 Score 42 Record 76
Game 759 Score 48 Record 76
Game 760 Score 30 Record 76
Game 761 Score 21 Record 76
Game 762 Score 30 Record 76
Game 763 Score 24 Record 76
Game 764 Score 26 Record 76
Game 765 Score 43 Record 76
Game 766 Score 42 Record 76
Game 767 Score 30 Record 76
Game 768 Score 22 Record 76
Game 769 Score 16 Record 76
Game 770 Score 38 Record 76
Game 771 Score 17 Record 76
Game 772 Score 23 Record 76
Game 773 Score 49 Record 76
Game 774 Score 70 Record 76
Game 775 Score 32 Record 76
Game 776 Score 28 Record 76
Game 777 Score 39 Record 76
Game 778 Score 27 Record 76
Game 779 Score 35 Record 76
Game 780 Score 29 Record 76
Game 781 Score 25 Record 76
Game 782 Score 11 Record 76
Game 783 Score 55 Record 76
Game 784 Score 34 Record 76
Game 785 Score 40 Record 76
Game 786 Score 47 Record 76
Game 787 Score 33 Record 76
Game 788 Score 6 Record 76
Game 789 Score 31 Record 76
Game 790 Score 51 Record 76
Game 791 Score 41 Record 76
Game 792 Score 27 Record 76
Game 793 Score 32 Record 76
Game 794 Score 47 Record 76
Game 795 Score 22 Record 76
Game 796 Score 34 Record 76
Game 797 Score 28 Record 76
Game 798 Score 21 Record 76
Game 799 Score 27 Record 76
Game 800 Score 11 Record 76
Game 801 Score 31 Record 76
Game 802 Score 39 Record 76
Game 803 Score 22 Record 76
Game 804 Score 31 Record 76
Game 805 Score 14 Record 76
Game 806 Score 26 Record 76
Game 807 Score 30 Record 76
Game 808 Score 11 Record 76
Game 809 Score 15 Record 76
Game 810 Score 40 Record 76
Game 811 Score 46 Record 76
Game 812 Score 40 Record 76
Game 813 Score 13 Record 76
Game 814 Score 30 Record 76
Game 815 Score 26 Record 76
Game 816 Score 21 Record 76
Game 817 Score 11 Record 76
Game 818 Score 30 Record 76
Game 819 Score 36 Record 76
Game 820 Score 31 Record 76
Game 821 Score 8 Record 76
Game 822 Score 23 Record 76
Game 823 Score 40 Record 76
Game 824 Score 33 Record 76
Game 825 Score 25 Record 76
Game 826 Score 40 Record 76
Game 827 Score 32 Record 76
Game 828 Score 23 Record 76
Game 829 Score 30 Record 76
Game 830 Score 15 Record 76
Game 831 Score 23 Record 76
Game 832 Score 37 Record 76
Game 833 Score 32 Record 76
Game 834 Score 15 Record 76
Game 835 Score 22 Record 76
Game 836 Score 31 Record 76
Game 837 Score 28 Record 76
Game 838 Score 37 Record 76
Game 839 Score 32 Record 76
